timestamp_utc,pollutant_value,pollutant_unit,latitude,longitude,location_name,parameter_name
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",15.0,,28.2189,112.8872,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T05:00:00-07:00'}",1.8,,42.541077,-121.921636,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",7.0,,32.5,80.1161,,
"{'utc': '2025-10-01T12:30:00Z', 'local': '2025-10-01T18:00:00+05:30'}",21.89,,17.528544,78.286195,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T13:00:00+01:00'}",0.0,,51.5835993,-1.5156409,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",7.0,,39.143196999999994,-76.84619199999999,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",5.6,,46.682299,-68.016195,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T05:00:00-07:00'}",2.0,,41.75613,-124.20347,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T07:00:00-05:00'}",14.011011905613401,,30.323,-97.7496,,
"{'utc': '2025-10-04T09:00:00Z', 'local': '2025-10-04T11:00:00+02:00'}",1.0,,49.61157000022713,6.118469999695286,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T06:00:00-06:00'}",0.4592916689192256,,51.136354,-114.145923,,
"{'utc': '2024-10-01T07:00:00Z', 'local': '2024-10-01T14:00:00+07:00'}",9.317301511764526,,14.63634665114693,102.78607574105901,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T13:00:00+01:00'}",3.387500047683716,,51.52224,-0.15657,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T22:00:00+10:00'}",4.402583340803782,,-37.765431408016745,144.92159283860687,,
"{'utc': '2025-04-02T05:00:00Z', 'local': '2025-04-02T12:00:00+07:00'}",52.916666666666664,,18.83658958412909,97.93999695256035,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T05:00:00-07:00'}",4.0,,54.05389,-128.671436,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T05:00:00-07:00'}",2.4,,49.70516,-123.15133,,
"{'utc': '2025-10-04T10:15:00Z', 'local': '2025-10-04T15:45:00+05:30'}",6.86,,22.368195,82.746431,,
"{'utc': '2021-11-11T17:00:00Z', 'local': '2021-11-11T10:00:00-07:00'}",6.5,,31.768056,-106.501111,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",24.0,,26.571,101.6891,,
"{'utc': '2025-01-08T12:00:00Z', 'local': '2025-01-08T07:00:00-05:00'}",7.0,,-4.914723,-80.960358,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",17.0,,29.911,121.83580000000002,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",10.0,,22.738,114.06780000000002,,
"{'utc': '2025-10-04T11:00:00Z', 'local': '2025-10-04T13:00:00+02:00'}",5.0,,42.715280000299245,-7.449440000044521,,
"{'utc': '2025-01-08T12:00:00Z', 'local': '2025-01-08T07:00:00-05:00'}",6.5,,-9.561408,-77.083976,,
"{'utc': '2025-10-04T10:00:00Z', 'local': '2025-10-04T12:00:00+02:00'}",5.1,,45.75329999969274,5.072199999985248,,
"{'utc': '2025-09-28T21:00:00Z', 'local': '2025-09-28T14:00:00-07:00'}",1.90244445130229,,37.41268564666114,-122.16152776128014,,
"{'utc': '2025-09-03T17:00:00Z', 'local': '2025-09-03T19:00:00+02:00'}",488.8988342285156,,48.011240402039554,14.396925297261548,,
"{'utc': '2025-03-16T14:00:00Z', 'local': '2025-03-16T10:00:00-04:00'}",8.870833198229471,,28.21795003995139,-80.7259570201707,,
"{'utc': '2025-10-04T08:00:00Z', 'local': '2025-10-04T10:00:00+02:00'}",2.9,,44.5694430002562,5.27897200043165,,
"{'utc': '2025-10-04T11:00:00Z', 'local': '2025-10-04T13:00:00+02:00'}",6.0,,52.48416800001682,13.123698000137418,,
"{'utc': '2024-03-15T20:00:00Z', 'local': '2024-03-15T21:00:00+01:00'}",45.3,,42.687073,21.158341000000004,,
"{'utc': '2025-01-08T12:00:00Z', 'local': '2025-01-08T07:00:00-05:00'}",6.1,,-10.750829,-76.263631,,
"{'utc': '2025-01-08T12:00:00Z', 'local': '2025-01-08T07:00:00-05:00'}",8.1,,-13.707724000000002,-76.193606,,
"{'utc': '2025-10-04T12:44:00Z', 'local': '2025-10-04T15:44:00+03:00'}",4.19,,43.6231,23.1676,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",47.0,,35.7754,115.08659999999999,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",14.6,,-12.012363,-76.937171,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",28.2,,-11.996141,-76.922521,,
"{'utc': '2025-10-04T10:30:00Z', 'local': '2025-10-04T16:00:00+05:30'}",0.0,,23.707909,86.41467,,
"{'utc': '2025-07-09T23:00:00Z', 'local': '2025-07-09T17:00:00-06:00'}",4.0,,41.58885,-109.23784,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",13.5,,40.7269,-73.8933,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",5.0,,29.722800000000003,106.6263,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",15.0,,18.3443,109.73479999999999,,
"{'utc': '2025-01-08T12:00:00Z', 'local': '2025-01-08T07:00:00-05:00'}",-9999.0,,-17.61076,-71.340649,,
"{'utc': '2025-01-07T08:20:00Z', 'local': '2025-01-07T03:20:00-05:00'}",-9999.0,,-17.634021,-71.335221,,
"{'utc': '2024-10-07T14:27:32Z', 'local': '2024-10-07T09:27:32-05:00'}",0.0,,29.67659,-95.37288,,
"{'utc': '2025-10-04T12:01:20Z', 'local': '2025-10-04T07:01:20-05:00'}",8.87,,29.67173,-95.36929,,
"{'utc': '2025-10-04T08:30:00Z', 'local': '2025-10-04T14:00:00+05:30'}",12.32,,8.8787,76.6073,,
"{'utc': '2025-01-08T12:00:00Z', 'local': '2025-01-08T07:00:00-05:00'}",6.8,,-14.087046,-72.106363,,
"{'utc': '2025-01-08T12:00:00Z', 'local': '2025-01-08T07:00:00-05:00'}",15.7,,-16.487574,-71.519153,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",10.6,,-4.916988,-80.858255,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",17.4,,-7.739941,-79.183239,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",7.7,,-14.110423,-72.242785,,
"{'utc': '2024-06-13T14:15:00Z', 'local': '2024-06-13T09:15:00-05:00'}",13.6,,-9.999997,-76.000015,,
"{'utc': '2024-10-06T12:00:00Z', 'local': '2024-10-06T14:00:00+02:00'}",2.269387756075178,,40.837158255667,14.2193183372579,,
"{'utc': '2024-12-19T15:00:00Z', 'local': '2024-12-19T10:00:00-05:00'}",12.6,,-9.119182,-78.54401,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",4.4,,-10.79368,-76.292123,,
"{'utc': '2025-01-08T12:00:00Z', 'local': '2025-01-08T07:00:00-05:00'}",7.5,,-13.834835000000002,-76.141729,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",6.1,,-17.09943,-70.681922,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",14.1,,-11.985654,-76.925467,,
"{'utc': '2024-12-27T08:30:00Z', 'local': '2024-12-27T03:30:00-05:00'}",-9999.0,,-17.647061,-71.3248,,
"{'utc': '2025-01-08T12:00:00Z', 'local': '2025-01-08T07:00:00-05:00'}",9.2,,-14.008673,-72.001256,,
"{'utc': '2025-01-08T12:05:00Z', 'local': '2025-01-08T07:05:00-05:00'}",0.0,,-9.102904,-78.565141,,
"{'utc': '2021-10-01T15:00:00Z', 'local': '2021-10-01T16:00:00+01:00'}",3.0,,52.437165,-1.829999,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",13.0,,23.2775,116.7258,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T19:00:00+07:00'}",4.7,,7.570238000000001,99.58874300000001,,
"{'utc': '2024-03-12T11:00:00Z', 'local': '2024-03-12T13:00:00+02:00'}",0.204,,-26.587334,27.841022,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",0.9188611110051473,,-28.731301,32.039016,,
